fecha,jurisdiccion,sorteo,numero,posicion
2025-12-16,CABA,Extra,5371,18
2025-12-16,CABA,Extra,8445,19
2025-12-16,CABA,Extra,5093,20
2025-12-16,CABA,Matutina,5743,1
2025-12-16,CABA,Matutina,1376,2
2025-12-16,CABA,Matutina,5766,3
2025-12-16,CABA,Matutina,3514,4
2025-12-16,CABA,Matutina,9916,5
2025-12-16,CABA,Matutina,8597,6
2025-12-16,CABA,Matutina,2206,7
2025-12-16,CABA,Matutina,9882,8
2025-12-16,CABA,Matutina,3339,9
2025-12-16,CABA,Matutina,3185,10
2025-12-16,CABA,Matutina,7018,11
2025-12-16,CABA,Matutina,3815,12
2025-12-16,CABA,Matutina,2239,13
2025-12-16,CABA,Matutina,9521,14
2025-12-16,CABA,Matutina,9156,15
2025-12-16,CABA,Matutina,5279,16
2025-12-16,CABA,Matutina,0958,17
2025-12-16,CABA,Matutina,0296,18
2025-12-16,CABA,Matutina,9238,19
2025-12-16,CABA,Matutina,1944,20
2025-12-16,CABA,Nocturna,1861,1
2025-12-16,CABA,Nocturna,1788,2
2025-12-16,CABA,Nocturna,6979,3
2025-12-16,CABA,Nocturna,2199,4
2025-12-16,CABA,Nocturna,2866,5
2025-12-16,CABA,Nocturna,7767,6
2025-12-16,CABA,Nocturna,2703,7
2025-12-16,CABA,Nocturna,2337,8
2025-12-16,CABA,Nocturna,4360,9
2025-12-16,CABA,Nocturna,3486,10
2025-12-16,CABA,Nocturna,6234,11
2025-12-16,CABA,Nocturna,9331,12
2025-12-16,CABA,Nocturna,7150,13
2025-12-16,CABA,Nocturna,5942,14
2025-12-16,CABA,Nocturna,4386,15
2025-12-16,CABA,Nocturna,7081,16
2025-12-16,CABA,Nocturna,5960,17
2025-12-16,CABA,Nocturna,7110,18
2025-12-16,CABA,Nocturna,8325,19
2025-12-16,CABA,Nocturna,0654,20
2025-12-16,CABA,Vespertina,8367,1
2025-12-16,CABA,Vespertina,1990,2
2025-12-16,CABA,Vespertina,7622,3
2025-12-16,CABA,Vespertina,2704,4
2025-12-16,CABA,Vespertina,7516,5
2025-12-16,CABA,Vespertina,2397,6
2025-12-16,CABA,Vespertina,4449,7
2025-12-16,CABA,Vespertina,0598,8
2025-12-16,CABA,Vespertina,1379,9
2025-12-16,CABA,Vespertina,3804,10
2025-12-16,CABA,Vespertina,4956,11
2025-12-16,CABA,Vespertina,1724,12
2025-12-16,CABA,Vespertina,5962,13
2025-12-16,CABA,Vespertina,3599,14
2025-12-16,CABA,Vespertina,4154,15
2025-12-16,CABA,Vespertina,1192,16
2025-12-16,CABA,Vespertina,4908,17
2025-12-16,CABA,Vespertina,2568,18
2025-12-16,CABA,Vespertina,0500,19
2025-12-16,CABA,Vespertina,1840,20
2025-12-16,JUJUY,Extra,3655,1
2025-12-16,JUJUY,Extra,9869,2
2025-12-16,JUJUY,Extra,2304,3
2025-12-16,JUJUY,Extra,9115,4
2025-12-16,JUJUY,Extra,2611,5
2025-12-16,JUJUY,Extra,1210,6
2025-12-16,JUJUY,Extra,7583,7
2025-12-16,JUJUY,Extra,4284,8
2025-12-16,JUJUY,Extra,3548,9
2025-12-16,JUJUY,Extra,1502,10
2025-12-16,JUJUY,Extra,3705,11
2025-12-16,JUJUY,Extra,2853,12
2025-12-16,JUJUY,Extra,1553,13
2025-12-16,JUJUY,Extra,5801,14
2025-12-16,JUJUY,Extra,6676,15
2025-12-16,JUJUY,Extra,2991,16
2025-12-16,JUJUY,Extra,5219,17
2025-12-16,JUJUY,Extra,3336,18
2025-12-16,JUJUY,Extra,1531,19
2025-12-16,JUJUY,Extra,5134,20
2025-12-16,JUJUY,Matutina,5802,1
2025-12-16,JUJUY,Matutina,6469,2
2025-12-16,JUJUY,Matutina,4387,3
2025-12-16,JUJUY,Matutina,0526,4
2025-12-16,JUJUY,Matutina,0473,5
2025-12-16,JUJUY,Matutina,6291,6
2025-12-16,JUJUY,Matutina,3874,7
2025-12-16,JUJUY,Matutina,7571,8
2025-12-16,JUJUY,Matutina,0799,9
2025-12-16,JUJUY,Matutina,0275,10
2025-12-16,JUJUY,Matutina,2098,11
2025-12-16,JUJUY,Matutina,7770,12
2025-12-16,JUJUY,Matutina,8237,13
2025-12-16,JUJUY,Matutina,2330,14
2025-12-16,JUJUY,Matutina,1406,15
2025-12-16,JUJUY,Matutina,4133,16
2025-12-16,JUJUY,Matutina,6804,17
2025-12-16,JUJUY,Matutina,4183,18
2025-12-16,JUJUY,Matutina,8262,19
2025-12-16,JUJUY,Matutina,8383,20
2025-12-16,JUJUY,Nocturna,9638,1
2025-12-16,JUJUY,Nocturna,8018,2
2025-12-16,JUJUY,Nocturna,3640,3
2025-12-16,JUJUY,Nocturna,4996,4
2025-12-16,JUJUY,Nocturna,5993,5
2025-12-16,JUJUY,Nocturna,9338,6
2025-12-16,JUJUY,Nocturna,4905,7
2025-12-16,JUJUY,Nocturna,6844,8
2025-12-16,JUJUY,Nocturna,8742,9
2025-12-16,JUJUY,Nocturna,2751,10
2025-12-16,JUJUY,Nocturna,9316,11
2025-12-16,JUJUY,Nocturna,1838,12
2025-12-16,JUJUY,Nocturna,8775,13
2025-12-16,JUJUY,Nocturna,4610,14
2025-12-16,JUJUY,Nocturna,0306,15
2025-12-16,JUJUY,Nocturna,0825,16
2025-12-16,JUJUY,Nocturna,2839,17
2025-12-16,JUJUY,Nocturna,9513,18
2025-12-16,JUJUY,Nocturna,7322,19
2025-12-16,JUJUY,Nocturna,5170,20
2025-12-16,JUJUY,Vespertina,0799,1
2025-12-16,JUJUY,Vespertina,2825,2
2025-12-16,JUJUY,Vespertina,0004,3
2025-12-16,JUJUY,Vespertina,3838,4
2025-12-16,JUJUY,Vespertina,4473,5
2025-12-16,JUJUY,Vespertina,7701,6
2025-12-16,JUJUY,Vespertina,8807,7
2025-12-16,JUJUY,Vespertina,0123,8
2025-12-16,JUJUY,Vespertina,1424,9
2025-12-16,JUJUY,Vespertina,7948,10
2025-12-16,JUJUY,Vespertina,2706,11
